ZipCode,StateName,City,CountyName
15030,Pennsylvania,Creighton,Allegheny
15144,Pennsylvania,Springdale,Allegheny
15275,,,
85343,,,
44262,Ohio,Munroe falls,Summit
53515,Wisconsin,Black earth,Dane
15688,Pennsylvania,Tarrs,Westmoreland
61803,,,
61864,Illinois,Philo,Champaign
15632,Pennsylvania,Export,Westmoreland
29716,,,
1636,,,
85246,,,
66606,Kansas,Topeka,Shawnee
85216,,,
44046,Ohio,Huntsburg,Geauga
85036,,,
89193,,,
22367,,,
15038,Pennsylvania,Elrama,Washington
28053,,,
89410,Nevada,Gardnerville,Douglas
43714,,,
61878,Illinois,Thomasboro,Champaign
85274,,,
89014,Nevada,Henderson,Clark
28205,North carolina,Charlotte,Mecklenburg
61820,Illinois,Champaign,Champaign
44240,Ohio,Kent,Portage
15223,Pennsylvania,Etna,Allegheny
89032,Nevada,North las vegas,Clark
89015,Nevada,Henderson,Clark
44333,Ohio,Fairlawn,Summit
44023,Ohio,Chagrin falls,Geauga
15213,Pennsylvania,Oakland,Allegheny
89144,Nevada,Zcta 89144,Clark
28012,North carolina,Belmont,Gaston
28278,North carolina,Charlotte,Mecklenburg
44121,Ohio,South euclid,Cuyahoga
15202,Pennsylvania,Bellevue,Allegheny
89053,,,
70182,,,
89191,Nevada,Nellis a f b,Clark
71632,,,
70839,,,
70191,,,
44028,Ohio,Columbia station,Lorain
44117,Ohio,Euclid,Cuyahoga
15367,Pennsylvania,Venetia,Washington
28256,,,
71101,Louisiana,Shreveport,Caddo Parish
85067,,,
70806,Louisiana,Baton rouge,East Baton Rouge Parish
2480000,,,
85118,,,
85269,,,
28271,,,
44334,,,
89132,,,
89162,,,
15301,Pennsylvania,Washington,Washington
89137,,,
61919,Illinois,Camargo,Douglas
71282,Louisiana,Mound,Madison Parish
15031,Pennsylvania,Cuddy,Allegheny
44211,,,
81058,Colorado,Manzanola,Otero
71637,,,
28106,,,
15290,,,
28451,North carolina,Leland,Brunswick
43336,Ohio,Middleburg,Logan
29707,,,
89109,Nevada,Las vegas,Clark
28209,North carolina,Charlotte,Mecklenburg
15071,Pennsylvania,Noblestown,Allegheny
44116,Ohio,Rocky river,Cuyahoga
89148,Nevada,Zcta 89148,Clark
15102,Pennsylvania,Bethel park,Allegheny
89142,Nevada,Zcta 89142,Clark
15203,Pennsylvania,Carson,Allegheny
89147,Nevada,Zcta 89147,Clark
44056,Ohio,Macedonia,Summit
15233,Pennsylvania,Kilbuck,Allegheny
70597,,,
89115,Nevada,Las vegas,Clark
28164,North carolina,Stanley,Gaston
